annotation_gene_id	structural_hit_id	structural_hit_name	tm_score	probability	evidence_source	notes	phage_id	phold_cds_id	feature_type	annotation_confidence	evalue	query_coverage	target_coverage	prostt5_confidence	source_file
phagehostlearn_2024_phage_K21lambda1|prodigal_00024	protein148863	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=YCQYJBNC_CDS_0026; feature_type=tail_fiber; annotation_confidence=low; evalue=3.036e-10; query_coverage=0.69; target_coverage=0.72; prostt5_confidence=52.650001525878906	phagehostlearn_2024_phage_K21lambda1	YCQYJBNC_CDS_0026	tail_fiber	low	3.036e-10	0.69	0.72	52.650001525878906	results/production/phold_assay_phages/phagehostlearn_2024_phage_K21lambda1/phagehostlearn_2024_phage_K21lambda1_per_cds_predictions.tsv
phagehostlearn_2024_phage_S13f|prodigal_00083	envhog_6fBd6	tail spike protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=LYIZGAAF_CDS_0094; feature_type=tailspike; annotation_confidence=medium; evalue=4.843e-16; query_coverage=0.98; target_coverage=0.3; prostt5_confidence=50.08000183105469	phagehostlearn_2024_phage_S13f	LYIZGAAF_CDS_0094	tailspike	medium	4.843e-16	0.98	0.3	50.08000183105469	results/production/phold_assay_phages/phagehostlearn_2024_phage_S13f/phagehostlearn_2024_phage_S13f_per_cds_predictions.tsv
phagehostlearn_2024_phage_A1g|prodigal_00057	envhog_32Aac	tail spike protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=AALOSDPL_CDS_0063; feature_type=tailspike; annotation_confidence=medium; evalue=1.822e-24; query_coverage=0.99; target_coverage=0.77; prostt5_confidence=54.20000076293945	phagehostlearn_2024_phage_A1g	AALOSDPL_CDS_0063	tailspike	medium	1.822e-24	0.99	0.77	54.20000076293945	results/production/phold_assay_phages/phagehostlearn_2024_phage_A1g/phagehostlearn_2024_phage_A1g_per_cds_predictions.tsv
phagehostlearn_2024_phage_M5a|prodigal_00152	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=APTEREEF_CDS_0181; feature_type=tail_fiber; annotation_confidence=high; evalue=5.220e-26; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=54.75	phagehostlearn_2024_phage_M5a	APTEREEF_CDS_0181	tail_fiber	high	5.220e-26	1.0	1.0	54.75	results/production/phold_assay_phages/phagehostlearn_2024_phage_M5a/phagehostlearn_2024_phage_M5a_per_cds_predictions.tsv
phagehostlearn_2024_phage_M5a|prodigal_00156	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=APTEREEF_CDS_0185; feature_type=baseplate; annotation_confidence=high; evalue=3.077e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=48.68999862670898	phagehostlearn_2024_phage_M5a	APTEREEF_CDS_0185	baseplate	high	3.077e-25	1.0	1.0	48.68999862670898	results/production/phold_assay_phages/phagehostlearn_2024_phage_M5a/phagehostlearn_2024_phage_M5a_per_cds_predictions.tsv
phagehostlearn_2024_phage_M5a|prodigal_00158	protein357834	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=APTEREEF_CDS_0187; feature_type=tail_fiber; annotation_confidence=low; evalue=1.458e-23; query_coverage=0.11; target_coverage=0.22; prostt5_confidence=35.130001068115234	phagehostlearn_2024_phage_M5a	APTEREEF_CDS_0187	tail_fiber	low	1.458e-23	0.11	0.22	35.130001068115234	results/production/phold_assay_phages/phagehostlearn_2024_phage_M5a/phagehostlearn_2024_phage_M5a_per_cds_predictions.tsv
phagehostlearn_2024_phage_M5b|prodigal_00087	protein867395	tail spike protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=XBSLYJAZ_CDS_0096; feature_type=tailspike; annotation_confidence=medium; evalue=1.864e-10; query_coverage=0.83; target_coverage=0.19; prostt5_confidence=56.560001373291016	phagehostlearn_2024_phage_M5b	XBSLYJAZ_CDS_0096	tailspike	medium	1.864e-10	0.83	0.19	56.560001373291016	results/production/phold_assay_phages/phagehostlearn_2024_phage_M5b/phagehostlearn_2024_phage_M5b_per_cds_predictions.tsv
phagehostlearn_2024_phage_M5b|prodigal_00090	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=XBSLYJAZ_CDS_0099; feature_type=baseplate; annotation_confidence=high; evalue=5.559e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=49.150001525878906	phagehostlearn_2024_phage_M5b	XBSLYJAZ_CDS_0099	baseplate	high	5.559e-25	1.0	1.0	49.150001525878906	results/production/phold_assay_phages/phagehostlearn_2024_phage_M5b/phagehostlearn_2024_phage_M5b_per_cds_predictions.tsv
phagehostlearn_2024_phage_M5b|prodigal_00094	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=XBSLYJAZ_CDS_0103; feature_type=tail_fiber; annotation_confidence=high; evalue=3.510e-28; query_coverage=0.99; target_coverage=0.99; prostt5_confidence=54.52999877929688	phagehostlearn_2024_phage_M5b	XBSLYJAZ_CDS_0103	tail_fiber	high	3.510e-28	0.99	0.99	54.52999877929688	results/production/phold_assay_phages/phagehostlearn_2024_phage_M5b/phagehostlearn_2024_phage_M5b_per_cds_predictions.tsv
phagehostlearn_2024_phage_K18PH07C1|prodigal_00083	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=NJFEHXFP_CDS_0089; feature_type=baseplate; annotation_confidence=high; evalue=2.774e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=48.84999847412109	phagehostlearn_2024_phage_K18PH07C1	NJFEHXFP_CDS_0089	baseplate	high	2.774e-25	1.0	1.0	48.84999847412109	results/production/phold_assay_phages/phagehostlearn_2024_phage_K18PH07C1/phagehostlearn_2024_phage_K18PH07C1_per_cds_predictions.tsv
phagehostlearn_2024_phage_K18PH07C1|prodigal_00089	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=NJFEHXFP_CDS_0095; feature_type=tail_fiber; annotation_confidence=high; evalue=3.318e-27; query_coverage=0.99; target_coverage=0.99; prostt5_confidence=54.20000076293945	phagehostlearn_2024_phage_K18PH07C1	NJFEHXFP_CDS_0095	tail_fiber	high	3.318e-27	0.99	0.99	54.20000076293945	results/production/phold_assay_phages/phagehostlearn_2024_phage_K18PH07C1/phagehostlearn_2024_phage_K18PH07C1_per_cds_predictions.tsv
phagehostlearn_2024_phage_K23PH08C2|prodigal_00100	protein357834	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=CVGFNALW_CDS_0110; feature_type=tail_fiber; annotation_confidence=low; evalue=2.612e-18; query_coverage=0.69; target_coverage=0.75; prostt5_confidence=45.52999877929688	phagehostlearn_2024_phage_K23PH08C2	CVGFNALW_CDS_0110	tail_fiber	low	2.612e-18	0.69	0.75	45.52999877929688	results/production/phold_assay_phages/phagehostlearn_2024_phage_K23PH08C2/phagehostlearn_2024_phage_K23PH08C2_per_cds_predictions.tsv
phagehostlearn_2024_phage_K23PH08C2|prodigal_00103	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=CVGFNALW_CDS_0113; feature_type=baseplate; annotation_confidence=high; evalue=1.310e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=48.75	phagehostlearn_2024_phage_K23PH08C2	CVGFNALW_CDS_0113	baseplate	high	1.310e-25	1.0	1.0	48.75	results/production/phold_assay_phages/phagehostlearn_2024_phage_K23PH08C2/phagehostlearn_2024_phage_K23PH08C2_per_cds_predictions.tsv
phagehostlearn_2024_phage_K23PH08C2|prodigal_00107	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=CVGFNALW_CDS_0117; feature_type=tail_fiber; annotation_confidence=high; evalue=6.750e-26; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=54.68999862670898	phagehostlearn_2024_phage_K23PH08C2	CVGFNALW_CDS_0117	tail_fiber	high	6.750e-26	1.0	1.0	54.68999862670898	results/production/phold_assay_phages/phagehostlearn_2024_phage_K23PH08C2/phagehostlearn_2024_phage_K23PH08C2_per_cds_predictions.tsv
phagehostlearn_2024_phage_K45PH128C2|prodigal_00109	protein476718	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=SVOSAWYX_CDS_0132; feature_type=tail_fiber; annotation_confidence=high; evalue=7.334e-25; query_coverage=0.86; target_coverage=0.95; prostt5_confidence=45.66999816894531	phagehostlearn_2024_phage_K45PH128C2	SVOSAWYX_CDS_0132	tail_fiber	high	7.334e-25	0.86	0.95	45.66999816894531	results/production/phold_assay_phages/phagehostlearn_2024_phage_K45PH128C2/phagehostlearn_2024_phage_K45PH128C2_per_cds_predictions.tsv
phagehostlearn_2024_phage_K45PH128C2|prodigal_00111	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=SVOSAWYX_CDS_0135; feature_type=baseplate; annotation_confidence=high; evalue=9.711e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=49.209999084472656	phagehostlearn_2024_phage_K45PH128C2	SVOSAWYX_CDS_0135	baseplate	high	9.711e-25	1.0	1.0	49.209999084472656	results/production/phold_assay_phages/phagehostlearn_2024_phage_K45PH128C2/phagehostlearn_2024_phage_K45PH128C2_per_cds_predictions.tsv
phagehostlearn_2024_phage_K45PH128C2|prodigal_00117	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=SVOSAWYX_CDS_0141; feature_type=tail_fiber; annotation_confidence=high; evalue=5.770e-27; query_coverage=0.99; target_coverage=0.99; prostt5_confidence=53.86000061035156	phagehostlearn_2024_phage_K45PH128C2	SVOSAWYX_CDS_0141	tail_fiber	high	5.770e-27	0.99	0.99	53.86000061035156	results/production/phold_assay_phages/phagehostlearn_2024_phage_K45PH128C2/phagehostlearn_2024_phage_K45PH128C2_per_cds_predictions.tsv
phagehostlearn_2024_phage_K54lambda1|prodigal_00093	protein357834	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=DPUOTRZH_CDS_0100; feature_type=tail_fiber; annotation_confidence=low; evalue=3.124e-18; query_coverage=0.69; target_coverage=0.75; prostt5_confidence=45.880001068115234	phagehostlearn_2024_phage_K54lambda1	DPUOTRZH_CDS_0100	tail_fiber	low	3.124e-18	0.69	0.75	45.880001068115234	results/production/phold_assay_phages/phagehostlearn_2024_phage_K54lambda1/phagehostlearn_2024_phage_K54lambda1_per_cds_predictions.tsv
phagehostlearn_2024_phage_K54lambda1|prodigal_00096	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=DPUOTRZH_CDS_0104; feature_type=baseplate; annotation_confidence=high; evalue=3.077e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=48.68999862670898	phagehostlearn_2024_phage_K54lambda1	DPUOTRZH_CDS_0104	baseplate	high	3.077e-25	1.0	1.0	48.68999862670898	results/production/phold_assay_phages/phagehostlearn_2024_phage_K54lambda1/phagehostlearn_2024_phage_K54lambda1_per_cds_predictions.tsv
phagehostlearn_2024_phage_K54lambda1|prodigal_00100	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=DPUOTRZH_CDS_0108; feature_type=tail_fiber; annotation_confidence=high; evalue=5.220e-26; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=54.75	phagehostlearn_2024_phage_K54lambda1	DPUOTRZH_CDS_0108	tail_fiber	high	5.220e-26	1.0	1.0	54.75	results/production/phold_assay_phages/phagehostlearn_2024_phage_K54lambda1/phagehostlearn_2024_phage_K54lambda1_per_cds_predictions.tsv
phagehostlearn_2024_phage_K56PH164C1|prodigal_00004	singleton39511	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=OMPAXYCM_CDS_0004; feature_type=tail_fiber; annotation_confidence=high; evalue=1.343e-15; query_coverage=0.86; target_coverage=0.86; prostt5_confidence=36.18999862670898	phagehostlearn_2024_phage_K56PH164C1	OMPAXYCM_CDS_0004	tail_fiber	high	1.343e-15	0.86	0.86	36.18999862670898	results/production/phold_assay_phages/phagehostlearn_2024_phage_K56PH164C1/phagehostlearn_2024_phage_K56PH164C1_per_cds_predictions.tsv
phagehostlearn_2024_phage_K58PH129C2|prodigal_00048	envhog_32Aac	tail spike protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=LOPVSROE_CDS_0055; feature_type=tailspike; annotation_confidence=medium; evalue=8.202e-20; query_coverage=1.0; target_coverage=0.76; prostt5_confidence=53.06999969482422	phagehostlearn_2024_phage_K58PH129C2	LOPVSROE_CDS_0055	tailspike	medium	8.202e-20	1.0	0.76	53.06999969482422	results/production/phold_assay_phages/phagehostlearn_2024_phage_K58PH129C2/phagehostlearn_2024_phage_K58PH129C2_per_cds_predictions.tsv
phagehostlearn_2024_phage_K74PH129C2|prodigal_00011	envhog_1kegQ	tail spike protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=QOWHMEUG_CDS_0011; feature_type=tailspike; annotation_confidence=medium; evalue=1.357e-23; query_coverage=0.98; target_coverage=0.79; prostt5_confidence=50.040000915527344	phagehostlearn_2024_phage_K74PH129C2	QOWHMEUG_CDS_0011	tailspike	medium	1.357e-23	0.98	0.79	50.040000915527344	results/production/phold_assay_phages/phagehostlearn_2024_phage_K74PH129C2/phagehostlearn_2024_phage_K74PH129C2_per_cds_predictions.tsv
